2023-02-11T03:36:55.850727-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:36:55.852727-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:36:55.856759-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:36:55.856759-0300 | INFO | App started | main.py:31
2023-02-11T03:36:55.989729-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:36:55.989729-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:36:55.989729-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:36:55.992757-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:36:55.992757-0300 | INFO | App started | main.py:31
2023-02-11T03:36:56.126731-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:36:56.126731-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:36:56.126731-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:36:56.128727-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:36:56.128727-0300 | INFO | App started | main.py:31
2023-02-11T03:36:56.362151-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:36:56.363151-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:36:56.363151-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:36:56.365147-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:36:56.365147-0300 | INFO | App started | main.py:31
2023-02-11T03:36:56.498148-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:36:56.498148-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:36:56.498148-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:36:56.500147-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:36:56.500147-0300 | INFO | App started | main.py:31
2023-02-11T03:36:56.651144-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:36:56.651144-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:36:56.651144-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:36:56.654144-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:36:56.654144-0300 | INFO | App started | main.py:31
2023-02-11T03:36:57.022436-0300 | DEBUG | User validname created successfully | views.py:40
2023-02-11T03:36:57.044412-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:36:57.044412-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:36:57.044412-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:36:57.046409-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:36:57.046409-0300 | INFO | App started | main.py:31
2023-02-11T03:38:18.687825-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:18.687825-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:18.687825-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:18.689828-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:18.689828-0300 | INFO | App started | main.py:31
2023-02-11T03:38:18.814797-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:18.815796-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:18.815796-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:18.817794-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:18.817794-0300 | INFO | App started | main.py:31
2023-02-11T03:38:19.053299-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:19.053299-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:19.054303-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:19.056302-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:19.056302-0300 | INFO | App started | main.py:31
2023-02-11T03:38:19.284815-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:19.284815-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:19.284815-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:19.286815-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:19.286815-0300 | INFO | App started | main.py:31
2023-02-11T03:38:19.518478-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:19.518478-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:19.518478-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:19.520476-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:19.520476-0300 | INFO | App started | main.py:31
2023-02-11T03:38:19.643585-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:19.643585-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:19.644586-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:19.645585-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:19.646584-0300 | INFO | App started | main.py:31
2023-02-11T03:38:19.768584-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:19.768584-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:19.768584-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:19.770585-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:19.770585-0300 | INFO | App started | main.py:31
2023-02-11T03:38:19.902585-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:19.902585-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:19.902585-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:19.905585-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:19.905585-0300 | INFO | App started | main.py:31
2023-02-11T03:38:20.315584-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:20.315584-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:20.315584-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:20.317588-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:20.317588-0300 | INFO | App started | main.py:31
2023-02-11T03:38:20.720587-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:20.720587-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:20.720587-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:20.722585-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:20.722585-0300 | INFO | App started | main.py:31
2023-02-11T03:38:20.845585-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:20.845585-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:20.845585-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:20.848584-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:20.849585-0300 | INFO | App started | main.py:31
2023-02-11T03:38:21.103004-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:38:21.104003-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:38:21.104003-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:38:21.105002-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:38:21.105002-0300 | INFO | App started | main.py:31
2023-02-11T03:39:15.467426-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:15.467426-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:15.467426-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:15.469424-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:15.469424-0300 | INFO | App started | main.py:31
2023-02-11T03:39:15.609426-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:15.609426-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:15.609426-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:15.611426-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:15.611426-0300 | INFO | App started | main.py:31
2023-02-11T03:39:15.744425-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:15.744425-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:15.744425-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:15.746427-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:15.746427-0300 | INFO | App started | main.py:31
2023-02-11T03:39:15.879426-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:15.879426-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:15.879426-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:15.880425-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:15.880425-0300 | INFO | App started | main.py:31
2023-02-11T03:39:16.008430-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:16.008430-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:16.008430-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:16.010427-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:16.010427-0300 | INFO | App started | main.py:31
2023-02-11T03:39:16.179196-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:16.180197-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:16.180197-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:16.182197-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:16.182197-0300 | INFO | App started | main.py:31
2023-02-11T03:39:16.562098-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:16.562098-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:16.562098-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:16.564099-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:16.565097-0300 | INFO | App started | main.py:31
2023-02-11T03:39:16.834099-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:16.834099-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:16.834099-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:16.836099-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:16.837097-0300 | INFO | App started | main.py:31
2023-02-11T03:39:16.963098-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:16.964100-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:16.964100-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:16.966098-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:16.967100-0300 | INFO | App started | main.py:31
2023-02-11T03:39:17.093099-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:17.093099-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:17.093099-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:17.096097-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:17.096097-0300 | INFO | App started | main.py:31
2023-02-11T03:39:17.331925-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:17.331925-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:17.331925-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:17.333926-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:17.333926-0300 | INFO | App started | main.py:31
2023-02-11T03:39:17.460971-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:17.460971-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:17.460971-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:17.462970-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:17.462970-0300 | INFO | App started | main.py:31
2023-02-11T03:39:17.595969-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:17.595969-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:17.595969-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:17.597971-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:17.597971-0300 | INFO | App started | main.py:31
2023-02-11T03:39:17.789971-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:17.789971-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:17.790968-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:17.792973-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:17.792973-0300 | INFO | App started | main.py:31
2023-02-11T03:39:18.026670-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:18.026670-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:18.026670-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:18.028670-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:18.028670-0300 | INFO | App started | main.py:31
2023-02-11T03:39:18.281741-0300 | DEBUG | User validname created successfully | views.py:40
2023-02-11T03:39:18.301741-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:18.302743-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:18.302743-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:18.304742-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:18.304742-0300 | INFO | App started | main.py:31
2023-02-11T03:39:21.719784-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:21.719784-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:21.719784-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:21.721785-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:21.721785-0300 | INFO | App started | main.py:31
2023-02-11T03:39:21.846788-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:21.847791-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:21.847791-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:21.849789-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:21.849789-0300 | INFO | App started | main.py:31
2023-02-11T03:39:21.975786-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:21.975786-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:21.975786-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:21.978788-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:21.978788-0300 | INFO | App started | main.py:31
2023-02-11T03:39:22.101869-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:22.101869-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:22.101869-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:22.103866-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:22.103866-0300 | INFO | App started | main.py:31
2023-02-11T03:39:22.230934-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:22.230934-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:22.230934-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:22.232931-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:22.232931-0300 | INFO | App started | main.py:31
2023-02-11T03:39:22.354936-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:22.354936-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:22.355933-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:22.356933-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:22.357933-0300 | INFO | App started | main.py:31
2023-02-11T03:39:22.531935-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:22.532937-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:22.532937-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:22.534936-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:22.534936-0300 | INFO | App started | main.py:31
2023-02-11T03:39:22.773496-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:22.773496-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:22.773496-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:22.775497-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:22.775497-0300 | INFO | App started | main.py:31
2023-02-11T03:39:23.184494-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:23.184494-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:23.184494-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:23.187495-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:23.187495-0300 | INFO | App started | main.py:31
2023-02-11T03:39:23.604495-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:23.604495-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:23.604495-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:23.606498-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:23.606498-0300 | INFO | App started | main.py:31
2023-02-11T03:39:23.732634-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:23.732634-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:23.732634-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:23.736634-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:23.736634-0300 | INFO | App started | main.py:31
2023-02-11T03:39:23.864639-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:23.864639-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:23.864639-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:23.866638-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:23.866638-0300 | INFO | App started | main.py:31
2023-02-11T03:39:56.392347-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:56.392347-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:56.392347-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:56.394342-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:56.394342-0300 | INFO | App started | main.py:31
2023-02-11T03:39:56.533343-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:56.534345-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:56.534345-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:56.536345-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:56.536345-0300 | INFO | App started | main.py:31
2023-02-11T03:39:56.779192-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:56.780193-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:56.780193-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:56.782193-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:56.782193-0300 | INFO | App started | main.py:31
2023-02-11T03:39:56.909706-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-11T03:39:56.909706-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-11T03:39:56.909706-0300 | INFO | Auth models configured | models.py:54
2023-02-11T03:39:56.911707-0300 | INFO | Auth configured | views.py:13
2023-02-11T03:39:56.912706-0300 | INFO | App started | main.py:31
